41:40.061034-43172026,CALL,1,process=rphost,t:clientID=4891,Usr=DefUser,SessionID=1546,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-260473,MemoryPeak=691782218,InBytes=1527805,OutBytes=42803345
42:24.061026-43859003,CALL,1,process=rphost,t:clientID=4892,Usr=DefUser,SessionID=1546,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-2416,MemoryPeak=696234779,InBytes=1527805,OutBytes=40687125
44:39.547033-22125017,CALL,1,process=rphost,t:clientID=4897,Usr=DefUser,SessionID=1548,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменДаннымиМеханизация,Method=BI_ОтправкаЖурналовВЦДСПарк,Memory=145020,MemoryPeak=4339194,InBytes=549630,OutBytes=988248
44:40.125021-22453009,CALL,1,process=rphost,t:clientID=4903,Usr=DefUser,SessionID=1549(1546),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-508,MemoryPeak=6896094,InBytes=1890289,OutBytes=3293162
44:55.345021-37656956,CALL,1,process=rphost,t:clientID=4904,Usr=DefUser,SessionID=1550(1546),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-746317,MemoryPeak=49496086,InBytes=42595841,OutBytes=53619469
49:41.118032-22203004,CALL,1,process=rphost,t:clientID=4913,Usr=DefUser,SessionID=1548,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменДаннымиМеханизация,Method=BI_ОтправкаЖурналовВЦДСПарк,Memory=76630,MemoryPeak=4270804,InBytes=1891336,OutBytes=3142185
49:43.915000-24702984,CALL,1,process=rphost,t:clientID=4918,Usr=DefUser,SessionID=1550(1547),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=4130,MemoryPeak=6900732,InBytes=1890289,OutBytes=3293162
49:59.668077-40425069,CALL,1,process=rphost,t:clientID=4919,Usr=DefUser,SessionID=1549(1547),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=225228,MemoryPeak=49718693,InBytes=41512719,OutBytes=48117058
54:40.442001-22108991,CALL,1,process=rphost,t:clientID=4927,Usr=DefUser,SessionID=1547,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменДаннымиМеханизация,Method=BI_ОтправкаЖурналовВЦДСПарк,Memory=161024,MemoryPeak=4352250,InBytes=1892503,OutBytes=3142428
54:41.208024-22625012,CALL,1,process=rphost,t:clientID=4932,Usr=DefUser,SessionID=1550(1546),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-2663,MemoryPeak=6893939,InBytes=1890289,OutBytes=4019105
54:57.117053-38519015,CALL,1,process=rphost,t:clientID=4933,Usr=DefUser,SessionID=1549(1546),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=551873,MemoryPeak=49502087,InBytes=41437509,OutBytes=50828768
57:24.694013-43186948,CALL,1,process=rphost,t:clientID=4937,Usr=DefUser,SessionID=1546,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-28832444,MemoryPeak=663210311,InBytes=1527763,OutBytes=41033255
58:07.883009-43126990,CALL,1,process=rphost,t:clientID=4938,Usr=DefUser,SessionID=1546,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-35226410,MemoryPeak=661010665,InBytes=1527763,OutBytes=40934784
58:51.274028-43203019,CALL,1,process=rphost,t:clientID=4941,Usr=DefUser,SessionID=1546,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-21185007,MemoryPeak=675052068,InBytes=1526862,OutBytes=40935837
59:37.704087-45211074,CALL,1,process=rphost,t:clientID=4942,Usr=DefUser,SessionID=1546,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменСAPI,Method=BI_ВыгрузкаВOperaBuild,Memory=-16799578,MemoryPeak=675243177,InBytes=1527763,OutBytes=41417954
59:40.672018-21984005,CALL,1,process=rphost,t:clientID=4943,Usr=DefUser,SessionID=1547,p:processName=bi_usp_prod_01,Func=Background job,Module=BI_ОбменДаннымиМеханизация,Method=BI_ОтправкаЖурналовВЦДСПарк,Memory=1342,MemoryPeak=4195516,InBytes=1893010,OutBytes=3664024
59:41.579076-22563046,CALL,1,process=rphost,t:clientID=4949,Usr=DefUser,SessionID=1548(1549),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-3360,MemoryPeak=6893242,InBytes=1890289,OutBytes=3293162
59:58.485011-39437989,CALL,1,process=rphost,t:clientID=4950,Usr=DefUser,SessionID=1549(1549),p:processName=bi_usp_prod_01,Func=Background job,Module=ИНАГРО_ОбменСПорталом,Method=ИНАГРО_ОбменДаннымиСПорталомПоУзлу,Memory=-43798,MemoryPeak=49491009,InBytes=42595575,OutBytes=53720299
